LANDMARK NAME,ID,ADDRESS,DATE BUILT,ARCHITECT,LANDMARK DESIGNATION DATE,LATITUDE,LONGITUDE
Vassar Swiss Underwear Company Building,L-265,2543 - 2545 W Diversey Av,,,07/30/2008,41.93162661,-87.6921001
Mathilde Eliel House,L- 89,4122 S Ellis Av,1886,Adler & Sullivan,10-02-91,41.81925575,-87.602788
Manhattan Building,L-139,431 S Dearborn St,1891,William LeBaron Jenney,07-07-78,41.87606572,-87.62896445
Machinery Hall at Illinois Institute of Technology,L- 12,100 W 33rd St,1901,"Patton, Fisher & Miller",05/26/2004,41.83516141,-87.62922122
Melissa Ann Elam House,L- 88,4726 S Dr Martin Luther King Jr Dr,1903,Henry L. Newhouse,03/21/1979,41.80852977,-87.61720439
(Former) Pioneer Trust and Savings Bank Building,L-318,4000 W. North Ave.,1924,Karl M. Vitzthum,06-06-12,41.91019211,-87.72661734
DuPont-Whitehouse House,L- 85,3558 S Artesian Av,1876,Oscar Cobb & Co.,04/16/1996,41.82858165,-87.68659368
Montgomery Ward & Co. Catalog House,L-149,618 W Chicago Av,1907-08,"Richard E. Schmidt, Garden and Martin",05/17/2000,41.89743687,-87.64369542
Vorwaerts Turner Hall,L-286,2431 W. Roosevelt Rd,,,09-03-09,41.86615181,-87.68724694
City Hall-County Building,L- 71,121 N LaSalle St / 118 N Clark St,1905-08,Holabird and Roche,01/21/1982,41.88384254,-87.63165528
Illinois and Michigan Canal,L-119,S Fork of Chicago River at W Levee & W Fuller Sts,1845-48,,05-09-96,41.84265823,-87.66461646
Lake Shore & Michigan Southern Bridges (pair),L-242,"Calumet River, N of 98th St & E of Chicago Skyway",,,12-12-07,41.71968671,-87.54296094
(Former) Schlitz Brewery Tied-House@11400S.Front,L-309,11400 S. Front Ave.,1906,Frommann and Jebsen,07-06-11,41.68712465,-87.61238874
Haskell-Barker-Atwater Buildings,L-109,18-28 S Wabash Av,1875-77,Wheelock & Thomas and John M. Van Osdel,11/13/1996,41.88136175,-87.62665808
300 West Adams Street Office Building,L-279,300 W Adams St,,,,41.87972743,-87.63568107
Three Arts Club,L-239,1300 N Dearborn St,1914,Holabird and Roche,06-10-81,41.90600702,-87.6304679
First Baptist Congregational Church,L- 93,60 N Ashland Av,1869-71,Gurdon P. Randall,01/21/1982,41.8829904,-87.66728153
Congress Theater,L- 75,2117-39 N Milwaukee Av / 2117-39 N Rockwell St,1925-26,Fridstein & Co.,07-10-02,41.92031653,-87.69221314
Jane Addams' Hull House and Dining Hall,L- 43,800 S Halsted St,1856,"Unknown, Dining Hall 1905: Pond & Pond",06-12-74,41.87150889,-87.64835752
Palliser's Cottage Home No. 35,L- 41,2314 W 111th Pl,1882,"Palliser, Palliser & Co.",02/16/2000,41.69109192,-87.67939883
Steuben Club Building,L-218,188 W Randolph St,1929,Karl M. Vitzhum & Co.,07/26/2006,41.88482916,-87.63360295
Hotel St. Benedict Flats,L-115,40-52 E Chicago Av,1882-83,James J. Egan,03/26/1996,41.89698041,-87.62644177
Cortland Street Drawbridge,L- 76,1440 W Cortland St,1902,John Ernst Ericson. Bridgehse reconst. 1982,07/24/1991,41.91691727,-87.66431155
August Dewes House,L- 81,509 W Wrightwood Av,1894-96,Adolph Cudell & Arthur Hercz,03-09-05,41.93027815,-87.64176889
New York Life Building,L-217,37-43 S LaSalle St,1893-94,1898 add:Jenney & Mundie 1903 add:Arch Unknown,07/26/2006,41.88088658,-87.63174751
"Tree Studios, Annexes and Courtyard",L-196,601-23 N State St/4-10 E Ohio St/3-7 E Ontario St,1894,"Parfitt Brothers, with Bauer & Hill",02/26/1997,41.89287853,-87.62773715
Gwendolyn Brooks House,L-289,7428 S. Evans Ave,1890,Unknown,02-10-10,41.75950344,-87.6070012
Spiegel Administration Building,L-302,1038 W. 35th Street,"1936, 1941","Battey & Kipp (1936), A. Epstein (1941-1942)",05-04-11,41.83093188,-87.65200154
Union Park Hotel,L-293,1519 West Warren Blvd,1930,Banjamin Albert Comm,06-09-10,41.88212992,-87.66615384
Reebie Storage Warehouse,L-173,2325-33 N Clark St,1921-22,George Kingsley,09-01-99,41.92471948,-87.63944577
Essanay Studios,L- 90,1333-35 W Argle St,1908-15,Various Architects,03/26/1996,41.97214865,-87.66333535
Calumet Park Fieldhouse,L- 33,9801 S Avenue G,1922-24,South Park Commission Architects,10-04-06,41.71773729,-87.53057838
Frederick C. Robie House,L-176,5757 S Woodlawn Av,1909,Frank Lloyd Wright,09/15/1971,41.78992032,-87.59597028
333 North Michigan Building,L-197,333 N Michigan Av,1928,Holabird & Roche/Holabird & Root,02-07-97,41.88780778,-87.62420054
"Sears, Roebuck and Company Administration Building",L-181,3333 W Arthington St,1905-14,Nimmons & Fellows and George C. Nimmons & Co.,09-04-02,41.86968209,-87.70963237
(Former) Marquette Park State Bank Building,L-274,6314 S Western Av,,,,41.7786654,-87.68401948
Myron Bachman House,L- 52,1244 W Carmen av,1948,Bruce Goff,12-09-92,41.9748882,-87.66168184
Pennsylania Bridge,L-249,"S Branch Chgo River, 19th St, SE of Lumber St",,,12-12-07,41.85565852,-87.63700354
Chicago Varnish Company Building,L- 70,33 W Kinzie St,1895,Henry Ives Cobb,07/25/2001,41.88899569,-87.62934802
"(Former) Engine Company 104, Truck 3",L-230,1401 S Michigan Av,1905,Charles F. Hermann,10-01-03,41.86395764,-87.62361007
James A. Sexton School,L-183,160 W Wendell St,1882,Architect Unknown,05-07-78,41.90156831,-87.63384357
Tribune Tower,L-198,435 N Michigan Av,1922-25,Raymond M. Hood and John Mead Howells,02-01-89,41.89046022,-87.62326507
Garfield Park Fieldhouse,L-285,100 N. Central park Ave,1928,,09-03-09,41.882684,-87.7160686
John J. Glessner House,L-104,1800 S Prairie Av,1886,Henry Hobson Richardson,10/14/1970,41.85772464,-87.62121066
McCormick Double House,L-143,660 N Rush St,1875,Frederick & Edward Baumann,10-06-05,41.89427876,-87.62572114
Richard Wright House,L-290,4831 S Vincennes Avenue,1893,Unknown,02-10-10,41.80666963,-87.61349706
Rosehill Cemetery Entrance,L- 21,5800 N Ravenswood Av,1864,William W. Boyington,10/16/1980,41.98659406,-87.67524668
(Former) Mid-City Trust and Savings Bank Buildings,L-317,2 S. Halsted Street,1911-12,Horatio R. Wilson(Original Building),04/24/2012,41.88148442,-87.64769505
Union Station,L-200,210 S Canal St,1913-25,"Graham, Anderson, Probst & White",05-01-02,41.8786699,-87.64035673
